S.No,STATE,DISTRICT,Rainfall (mm),Total Geographical Area (ha),Ground Water Recharge (ham),Inflows and Outflows (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),Quality Tagging,Additional Potential Resources Under Specific Conditions(ham),Coastal Areas,In-Storage Unconfined Ground Water Resources(ham),Total Ground Water Availability in Unconfined Aquifier (ham),Dynamic Confined Ground Water Resources(ham),In-Storage Confined Ground Water Resources(ham),Total Confined Ground Water Resources (ham),Dynamic Semi Confined Ground Water Resources (ham),In-Storage Semi Confined Ground Water Resources (ham),Total Semi-Confined Ground Water Resources (ham),Total Ground Water Availability in the area (ham)
12,ANDHRA PRADESH,Guntur,892.350296150834,155474.6592,14453.96,0,54476.24,2723.84,51752.4,2561.56916445,20.4959190298421,2788.24,40918.57,0,0,0,414803.28,466579.85,0,0,0,0,0,0,466579.85
13,ANDHRA PRADESH,Kakinada,1107.06500345097,169714.768,15890.03,0,90650.34,4522.56,86127.78,1585.064622,15.6679064524826,1639.67,72600.84,0,0,0,0,107137.86,0,0,0,0,0,0,107137.86
14,ANDHRA PRADESH,Konaseema,1238.853772504,132007.20964,18010.39,0,112249.52,5612.65,106636.87,1292.495076,9.92773887680687,1338.38,96004.32,0,0,0,0,106636.87,0,0,0,0,0,0,106636.87
15,ANDHRA PRADESH,Krishna,1019.99862123138,193506,29009.69,0,166744.55,8337.3,158407.25,2037.4579479,29.6451582866315,2692.79,110791.85,0,0,0,1047098.43,1205505.68,0,0,0,0,0,0,1205505.68
16,ANDHRA PRADESH,Kurnool,615.685163043739,208257,11168.34,0,28447.97,1422.4,27025.57,1615.3296555,23.586736560968,1656.07,20610.35,0,0,0,0,64082.01,0,0,0,0,0,0,64082.01
17,ANDHRA PRADESH,NTR,1036.30784858475,289249.6,20915.21,0,62151.16,3107.62,59043.54,2344.47473925,38.5667085679483,2380.39,36421.16,0,0,0,0,61046.13,0,0,0,0,0,0,61046.13
18,ANDHRA PRADESH,Nandyal,736.431843013617,367930,13186.01,0,60823.57,3041.23,57782.34,368.516,12.7214993369947,368.81,50431.56,0,0,0,0,78109.31,0,0,0,0,0,0,78109.31
19,ANDHRA PRADESH,Palnadu,774.306118575993,434050.9627,19135.85,0,87777.02,4388.98,83388.04,3490.0598105,25.3176834471706,3562.2,62258.78,0,0,0,1472760.78,1569163.24,0,0,0,0,0,0,1569163.24
20,ANDHRA PRADESH,Parvathipuram Manyam,1140.30812952841,63377.6,7666.91,0,38946.8,1947.47,36999.33,308.467809375,15.0804622678303,517.41,31350.86,0,0,0,0,86871.96,0,0,0,0,0,0,86871.96
21,ANDHRA PRADESH,Prakasam,790.50566197997,287267,18184.09,0,30029.94,1501.61,28528.33,1327.5884573,47.4309922803052,1392.07,16924.39,0,0,0,5414536.04,5507955.12,0,0,0,0,0,0,5507955.12
22,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,1081.29967624723,345599.422569739,35090.46,0,112977.06,5648.97,107328.09,3857.573088,22.286700527327,4629.18,84775.69,0,0,0,1735077.79,1922203.27,0,0,0,0,0,0,1922203.27
23,ANDHRA PRADESH,Sri Sathya Sai,0,0,0,0,8667.51,433.39,8234.12,0,0,0,8234.12,0,0,0,1867984.72,1981884.25,0,0,0,0,0,0,1981884.25
24,ANDHRA PRADESH,Srikakulam,1121.89561584936,115519.71944,11846.86,0,59857.6,2992.72,56864.88,1930.083913275,20.8651807583169,3011.59,45055.27,0,0,0,0,125582.86,0,0,0,0,0,0,125582.86
25,ANDHRA PRADESH,Tirupati,1233.21221477268,53098,5231.24,0,14474.62,723.7,13750.92,173.620488,26.9733225122392,413.24,9861.97,0,0,0,3637364.63,3790823.56,0,0,0,0,0,0,3790823.56
26,ANDHRA PRADESH,Visakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739587.91,751578.52,0,0,0,0,0,0,751578.52
27,ANDHRA PRADESH,Vizianagaram,1090.93729525308,114339.94,7477.4,0,74936.32,3747.06,71189.26,497.4,15.6615618704282,497.4,60882.34,0,0,0,1998746.75,2134352.79,0,0,0,0,0,0,2134352.79
28,ANDHRA PRADESH,West Godavari,1254.50171084107,52492.31,9353.34,0,51714.54,2585.71,49128.83,323.685126,6.7293684787527,868.29,45278.15,0,0,0,0,53132.45,0,0,0,0,0,0,53132.45
29,ANDHRA PRADESH,Y.S.R Kadapa,679.825151208509,582867.992,38628.09,0,78006.71,3900.42,74106.29,5692.0733,35.2768705598405,5692.08,49073.81,0,0,0,7526010.65,7627893.57,0,0,0,0,0,0,7627893.57
30,ARUNACHAL PRADESH,ANJAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,ARUNACHAL PRADESH,CHANGLANG,0,0,0,0,0,0,0,0,0,0,0,0,1933.4399688,0,0,31152.13,0,0,0,0,0,0,31152.13
32,ARUNACHAL PRADESH,DIBANG VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,ARUNACHAL PRADESH,EAST KAMENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16348.11,0,0,0,0,0,0,16348.11
34,ARUNACHAL PRADESH,EAST SIANG,0,0,0,0,0,0,0,0,0,0,0,0,3733.813603072,0,0,78569.38,0,0,0,0,0,0,78569.38
35,ARUNACHAL PRADESH,KURUNG KUMEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,ARUNACHAL PRADESH,LOHIT,0,0,0,0,0,0,0,0,0,0,0,0,9791.131590444,0,0,110570.56,0,0,0,0,0,0,110570.56
37,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71289.41,0,0,0,0,0,0,71289.41
38,ARUNACHAL PRADESH,LOWER SUBANSIRI,0,0,0,0,0,0,0,0,0,0,0,0,8164.97333716,0,0,5508.04,0,0,0,0,0,0,5508.04
39,ARUNACHAL PRADESH,PAPUM PARE,0,0,0,0,0,0,0,0,0,0,0,0,6968.291028328,0,0,10099.43,0,0,0,0,0,0,10099.43
40,ARUNACHAL PRADESH,TAWANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,ARUNACHAL PRADESH,TIRAP,0,0,0,0,0,0,0,0,0,0,0,0,101.640041512,0,0,9122.65,0,0,0,0,0,0,9122.65
42,ARUNACHAL PRADESH,UPPER SIANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,ARUNACHAL PRADESH,UPPER SUBANSIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2476.39,0,0,0,0,0,0,2476.39
44,ARUNACHAL PRADESH,WEST KAMENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3146.83,0,0,0,0,0,0,3146.83
45,ARUNACHAL PRADESH,WEST SIANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7312.19,0,0,0,0,0,0,7312.19
46,ASSAM,BAKSA,0,0,0,0,0,0,0,0,0,0,0,0,18167.56735138,0,1943256.77,2072551.58,0,0,0,0,0,0,2072551.58
47,ASSAM,BARPETA,0,0,0,0,0,0,0,0,0,0,0,0,10111.741090677,0,817402.5,894614.63,0,0,0,0,0,0,894614.63
48,ASSAM,BONGAIGAON,0,0,0,0,0,0,0,0,0,0,0,0,12260.466062019,0,576030.11,621972.27,0,0,0,0,0,0,621972.27
49,ASSAM,CACHAR,0,0,0,0,0,0,0,0,0,0,0,0,21749.7228072675,0,399217.91,443309.52,0,0,0,0,0,0,443309.52
50,ASSAM,CHIRANG,0,0,0,0,0,0,0,0,0,0,0,0,22734.217770692,0,1530049.68,1626559.32,0,0,0,0,0,0,1626559.32
51,ASSAM,DARRANG,0,0,0,0,0,0,0,0,0,0,0,0,2696.885240469,0,1310522.3,1362768.41,0,0,0,0,0,0,1362768.41
52,ASSAM,DHEMAJI,0,0,0,0,0,0,0,0,0,0,0,0,60315.756747858,0,3661792.7,3758648.85,0,0,0,0,0,0,3758648.85
53,ASSAM,DHUBRI,0,0,0,0,0,0,0,0,0,0,0,0,1606.925501487,0,724058.96,822519.15,0,0,0,0,0,0,822519.15
54,ASSAM,DIBRUGARH,0,0,0,0,0,0,0,0,0,0,0,0,74771.162434059,0,3959350.47,4082810.38,0,0,0,0,0,0,4082810.38
55,ASSAM,DIMA HASAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351450,408113.36,0,0,0,0,0,0,408113.36
56,ASSAM,GOALPARA,0,0,0,0,0,0,0,0,0,0,0,0,32905.477107285,0,1006473.27,1064917.08,0,0,0,0,0,0,1064917.08
57,ASSAM,GOLAGHAT,0,0,0,0,0,0,0,0,0,0,0,0,7609.247648157,0,1044420,1141415.62,0,0,0,0,0,0,1141415.62
58,ASSAM,HAILAKANDI,0,0,0,0,0,0,0,0,0,0,0,0,3067.60136404725,0,153686.4,174562.37,0,0,0,0,0,0,174562.37
59,ASSAM,JORHAT,0,0,0,0,0,0,0,0,0,0,0,0,115311.304532025,0,1985814.48,2043328.22,0,0,0,0,0,0,2043328.22
60,ASSAM,KAMRUP,0,0,0,0,0,0,0,0,0,0,0,0,46023.522131355,0,1534922.02,1602869.17,0,0,0,0,0,0,1602869.17
61,ASSAM,KAMRUP (M),0,0,0,0,0,0,0,0,0,0,0,0,11357.571181368,0,689190.09,712558.56,0,0,0,0,0,0,712558.56
62,ASSAM,KARBI ANGLONG,0,0,0,0,0,0,0,0,0,0,0,0,31329.308314377,0,2272059.26,2379287.57,0,0,0,0,0,0,2379287.57
63,ASSAM,KARIMGANJ,0,0,0,0,0,0,0,0,0,0,0,0,11164.0546813297,0,245716.02,277836.76,0,0,0,0,0,0,277836.76
64,ASSAM,KOKRAJHAR,0,0,0,0,0,0,0,0,0,0,0,0,36866.945403489,0,1569744,1727612.49,0,0,0,0,0,0,1727612.49
65,ASSAM,LAKHIMPUR,0,0,0,0,0,0,0,0,0,0,0,0,67788.100709577,0,481022.17,552573.11,0,0,0,0,0,0,552573.11
66,ASSAM,MORIGAON,0,0,0,0,0,0,0,0,0,0,0,0,20477.273804673,0,1199579.2,1237192.62,0,0,0,0,0,0,1237192.62
67,ASSAM,NAGAON,0,0,0,0,0,0,0,0,0,0,0,0,73563.120849141,0,1291438.91,1391571.88,0,0,0,0,0,0,1391571.88
68,ASSAM,NALBARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608148.26,637762.58,0,0,0,0,0,0,637762.58
69,ASSAM,SIBSAGAR,0,0,0,0,0,0,0,0,0,0,0,0,55459.165848636,0,1230192.12,1324628.65,0,0,0,0,0,0,1324628.65
70,ASSAM,SONITPUR,0,0,0,0,0,0,0,0,0,0,0,0,70904.625681129,0,5962423.56,6097317.93,0,0,0,0,0,0,6097317.93
71,ASSAM,TINSUKIA,0,0,0,0,0,0,0,0,0,0,0,0,63077.507026029,0,1979761.1,2108258.04,0,0,0,0,0,0,2108258.04
72,ASSAM,UDALGURI,0,0,0,0,0,0,0,0,0,0,0,0,65958.39639542,0,1501442.12,1550735.1,0,0,0,0,0,0,1550735.1
73,BIHAR,ARARIA,1632.2,98344,28251.03,0,98020.86,9802.12,88218.74,5785.423375,12.2667020635298,6331.13,76851.5,0,0,0,0,145303.68,0,0,0,0,0,0,145303.68
74,BIHAR,ARWAL,874.4,21371.8,2871.21,0,11694.66,1169.46,10525.2,2154.54317,45.5984684376544,2257.46,5622.95,0,0,0,0,19119.92,0,0,0,0,0,0,19119.92
75,BIHAR,AURANGABAD,974.9,142675,22283,0,96449.45,9644.95,86804.5,9270.825895,26.9902712416983,9974.13,62672.43,0,0,0,0,119726.23,0,0,0,0,0,0,119726.23
76,BIHAR,BANKA,974.9,47719.2,4752.28,0,21839.4,2183.95,19655.45,5094.37143,46.5822965131808,5489.08,10104.79,0,0,0,0,63632.68,0,0,0,0,0,0,63632.68
77,BIHAR,BEGUSARAI,1090.7,336.5,70.47,0,1396.67,139.68,1256.99,0,4.49884247289159,0,1200.44,0,0,0,0,50675.69,0,0,0,0,0,0,50675.69
78,BIHAR,BHAGALPUR,1207.9,11453.66,2549.13,0,8020.52,802.06,7218.46,1413.699385,45.7474308924618,1516.2,3813.7,0,0,0,0,71315.39,0,0,0,0,0,0,71315.39
79,BIHAR,BHOJPUR,1051.5,56636.8,11104.23,0,40918.5,4091.85,36826.65,4504.00729,36.0055557592124,4764.61,23306.41,0,0,0,0,78971.26,0,0,0,0,0,0,78971.26
80,BIHAR,BUXAR,975.4,49281,8344.28,0,33565.19,3274.9,30290.29,3864.43458,34.922511471498,4088.04,19488.55,0,0,0,0,56138.3,0,0,0,0,0,0,56138.3
81,BIHAR,DARBHANGA,1123.6,5912.81,1092.69,0,6432.59,643.27,5789.32,426.18933,20.7596056186219,447.44,4566.23,0,0,0,0,69980.65,0,0,0,0,0,0,69980.65
82,BIHAR,EAST CHAMPARAN,1197.7,147947.82,33362.33,0,117901.8,11790.22,106111.58,14912.694785,37.4300618273708,16756.31,64550.34,0,0,0,0,175758.62,0,0,0,0,0,0,175758.62
83,BIHAR,GAYA,1003.9,36320,4902.82,0,21540.67,2000.66,19540.01,5142.563475,56.550585183938,5539.25,8626.93,0,0,0,0,119480.56,0,0,0,0,0,0,119480.56
84,BIHAR,GOPALGANJ,1135.5,77162,15267.12,0,63780.78,6378.08,57402.7,8533.29777,47.4612692434328,8946.79,29745.15,0,0,0,0,95892.6,0,0,0,0,0,0,95892.6
85,BIHAR,JAMUI,1107.3,8352.9,1137.15,0,6780.25,634.54,6145.71,6360.59877,111.174786965216,6835.06,497.11,0,0,0,0,45487.64,0,0,0,0,0,0,45487.64
86,BIHAR,JEHANABAD,936.6,15594,2734.29,0,11750.53,1035.74,10714.79,2804.380264,59.0536072102206,2966.66,4225.04,0,0,0,0,29704.79,0,0,0,0,0,0,29704.79
87,BIHAR,KAIMUR,1126.3,65809,11934.14,0,35282.64,3324.19,31958.45,4965.115075,38.0526902900485,5341.78,19420.74,0,0,0,0,74894.61,0,0,0,0,0,0,74894.61
88,BIHAR,KATIHAR,1342.7,22050.7,4818.77,0,25555.64,2555.55,23000.09,1567.0326,19.3037505505413,1700.9,18630.42,0,0,0,0,111235.59,0,0,0,0,0,0,111235.59
89,BIHAR,KHAGARIA,0,0,0,0,593.69,59.37,534.32,0,0,0,534.32,0,0,0,0,44454.07,0,0,0,0,0,0,44454.07
90,BIHAR,KISHANGANJ,0,0,0,0,676.24,67.63,608.61,0,0,0,608.61,0,0,0,0,59241.4,0,0,0,0,0,0,59241.4
91,BIHAR,LAKHISARAI,1146.8,24037,3610.66,0,17605.01,1613.47,15991.54,3328.186435,31.5381758104598,3561.28,10715.01,0,0,0,0,37503.18,0,0,0,0,0,0,37503.18
92,BIHAR,MADHEPURA,1392.7,107784,25558.56,0,87478.03,8747.79,78730.24,7409.01163,34.0912335590492,8137.46,51161.68,0,0,0,0,98390.31,0,0,0,0,0,0,98390.31
93,BIHAR,MADHUBANI,1293.3,52482.82,11758.19,0,55220.23,5522.07,49698.16,7848.89868,41.5317991652005,8424.52,28965.78,0,0,0,0,130565.01,0,0,0,0,0,0,130565.01
94,BIHAR,MUNGER,1146.8,32937,5306.24,0,16065.53,1472.13,14593.4,3065.77443,40.9042443844478,3227.36,8462.49,0,0,0,0,37580.04,0,0,0,0,0,0,37580.04
95,BIHAR,MUZAFFARPUR,1154.5,41129.35,9379.03,0,38063.24,3632.87,34430.37,8285.74444,49.6998434812057,9724.06,16646.21,0,0,0,0,111999.92,0,0,0,0,0,0,111999.92
96,BIHAR,NALANDA,1002.2,11911,2100.82,0,7206.2,705.84,6500.36,671.282815,47.9765736051542,709.37,3343.62,0,0,0,0,58002.8,0,0,0,0,0,0,58002.8
97,BIHAR,NAWADA,1041.8,21728,2946.5,0,11636.97,1063.62,10573.35,4492.802812,64.0571814987681,4769.9,3665.65,0,0,0,0,62569.64,0,0,0,0,0,0,62569.64
98,BIHAR,PATNA,1074.8,20510,4119.69,0,20606.18,1462.01,19144.17,4416.436125,45.2299577364806,4707.91,10193.8,0,0,0,0,98219.1,0,0,0,0,0,0,98219.1
99,BIHAR,PURNEA,1598.2,102587,26978.13,0,99732.14,9973.26,89758.88,8596.030028,25.2432851212047,9330.39,66366.42,0,0,0,0,151485.74,0,0,0,0,0,0,151485.74
100,BIHAR,ROHTAS,949.1,96037,16104.03,0,50389.25,5038.92,45350.33,7157.95587,32.7298610616505,7548.23,30116.96,0,0,0,0,106504.5,0,0,0,0,0,0,106504.5
101,BIHAR,SAHARSA,1692.9,22194,6133.1,0,23406.33,2340.66,21065.67,5505.508014,37.3641094729007,5920.83,12779.35,0,0,0,0,63652.19,0,0,0,0,0,0,63652.19
102,BIHAR,SAMASTIPUR,1192.3,2244.66,479.68,0,3595.28,359.53,3235.75,0,14.0156068917562,0,2782.24,0,0,0,0,80434.25,0,0,0,0,0,0,80434.25
103,BIHAR,SARAN,1123.8,93564.1,18231.39,0,64760.76,6385.37,58375.39,11445.879875,40.2793540223029,12108.17,34199.86,0,0,0,0,100266.08,0,0,0,0,0,0,100266.08
104,BIHAR,SHEIKHPURA,1008.4,3791.4,713.78,0,2585.07,258.5,2326.57,583.99124,41.7343987071096,616.48,1323.1,0,0,0,0,16331.26,0,0,0,0,0,0,16331.26
105,BIHAR,SHEOHAR,1293.1,12235,3308.05,0,7158.25,582.18,6576.07,2336.80008,68.3055381101479,2524.1,1896.95,0,0,0,0,16711.28,0,0,0,0,0,0,16711.28
106,BIHAR,SITAMARHI,0,0,0,0,1959.76,195.96,1763.8,0,0,0,1763.8,0,0,0,0,61797.85,0,0,0,0,0,0,61797.85
107,BIHAR,SIWAN,1135.4,67324.1,14307.75,0,60404.49,5873.88,54530.61,10916.452266,46.1736995056538,11593.96,28674.3,0,0,0,0,97746.85,0,0,0,0,0,0,97746.85
108,BIHAR,SUPAUL,1273.8,38581.7,8649.59,0,58736.91,5873.71,52863.2,6897.590639,20.7738842900165,7496.13,41282.91,0,0,0,0,97479.47,0,0,0,0,0,0,97479.47
109,BIHAR,VAISHALI,1176.5,36302.79,8336.89,0,27260.41,2215.31,25045.1,4338.741879,51.0435973503799,5243.77,12938.93,0,0,0,0,73084.5,0,0,0,0,0,0,73084.5
110,BIHAR,WEST CHAMPARAN,1472,128470,31455,0,109690.52,10969.09,98721.43,10655.1019,25.3996016872932,11608.59,72693.09,0,0,0,0,164113.33,0,0,0,0,0,0,164113.33
111,CHANDIGARH,CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4962.51,4.9,1218.26,1223.16,0,0,0,4962.51
112,CHHATTISGARH,BALOD,1122.9,114082,6814.01,0,24815.62,2481.57,22334.05,765.06993,81.5139215681885,800.63,4454.08,0,0,0,48469.53,84335.37,0,0,0,0,0,0,84335.37
113,CHHATTISGARH,BALODA BAZAR,1389.93671757226,137313,9251.21,0,46562.28,4656.22,41906.06,1785.069,32.7463856062822,2269.12,27699.29,0,0,0,76057.67,137938.14,0,0,0,0,0,0,137938.14
114,CHHATTISGARH,BALRAMPUR,1317,16893,1324.25,0,2886.89,288.71,2598.18,59.94468,23.5830465941544,63.67,1981.73,0,0,0,102632.39,149805.89,0,0,0,0,0,0,149805.89
115,CHHATTISGARH,BASTAR,1760.43941605839,6165,452.77,0,985.32,98.54,886.78,33.51576,10.6689370531586,35.02,790.67,0,0,0,72392.81,97025.15,0,0,0,0,0,0,97025.15
116,CHHATTISGARH,BEMETARA,1122.9,57182,3483.63,0,19338.24,1933.84,17404.4,459.54522,80.4467835719703,534.46,3683.43,0,0,0,52301.62,94913.93,0,0,0,0,0,0,94913.93
117,CHHATTISGARH,BIJAPUR,1528.1,90,10.16,0,43.32,4.34,38.98,0.1314,4.28424833247819,0.15,37.29,0,0,0,87545.8,134537.89,0,0,0,0,0,0,134537.89
118,CHHATTISGARH,BILASPUR,1103.26365407697,64153,3301.74,0,22665.74,2266.58,20399.16,802.64157,32.9901819486685,941.8,13530.28,0,0,0,58168.97,104638.09,0,0,0,0,0,0,104638.09
119,CHHATTISGARH,DANTEWADA,1327.9,60,4.24,0,68.45,6.85,61.6,0.12045,0.194805194805195,0.12,61.48,0,0,0,58581.89,83476.3,0,0,0,0,0,0,83476.3
120,CHHATTISGARH,DHAMTARI,1385.3,113324,9831.92,0,50330.34,5033.03,45297.31,689.64195,68.8366042045322,711.02,14094.8,0,0,0,46576.65,108235.21,0,0,0,0,0,0,108235.21
121,CHHATTISGARH,DURG,1122.9,73161,3760.21,0,22904.78,2290.47,20614.31,523.05084,54.8329776742467,543.5,9290.42,0,0,0,43279.64,82349.46,0,0,0,0,0,0,82349.46
122,CHHATTISGARH,GARIABAND,1385.3,64270.5,5148.47,0,13091.12,1286.7,11804.42,298.07433,62.3503738430181,317.11,4425.29,0,0,0,48711.22,82480.1,0,0,0,0,0,0,82480.1
123,CHHATTISGARH,GOURELA-PENDRA-MARWAHI,1229.8,11361,889.16,0,2048.61,204.87,1843.74,73.24017,24.78874461692,84.29,1375.64,0,0,0,30376.67,43478.59,0,0,0,0,0,0,43478.59
124,CHHATTISGARH,JANJGIR-CHAMPA,1386,118718,6487.27,0,39012.57,3901.27,35111.3,1342.62987,14.6162346594971,1433.42,29888.56,0,0,0,40208.37,84327.96,0,0,0,0,0,0,84327.96
125,CHHATTISGARH,JASHPUR,1408.36875148069,8442,586.22,0,1492.4,149.23,1343.17,40.3617,19.0124853890423,41.67,1087.48,0,0,0,83608.05,115734,0,0,0,0,0,0,115734
126,CHHATTISGARH,KABIRDHAM,1117,40198,2798.87,0,29704.33,2970.43,26733.9,201.44715,24.5960746467968,221.6,20138.26,0,0,0,76869.54,142595.98,0,0,0,0,0,0,142595.98
127,CHHATTISGARH,KANKER,1402.92097569806,22097,1917.99,0,6255.48,625.55,5629.93,61.10538,11.2321112340651,63.99,4994.68,0,0,0,117057.88,182884.99,0,0,0,0,0,0,182884.99
128,CHHATTISGARH,KHAIRAGARH-CHHUIKHADAN_GANDAI,1208.7,21813,1136.72,0,7929.64,792.96,7136.68,140.28264,41.0706378876452,150.46,4195.43,0,0,0,27347.43,45185.28,0,0,0,0,0,0,45185.28
129,CHHATTISGARH,KONDAGAON,1362.4,14149,1056.12,0,2064.01,187.25,1876.76,51.64458,77.2970438415141,53.7,640.62,0,0,0,68763.8,103787.63,0,0,0,0,0,0,103787.63
130,CHHATTISGARH,KORBA,1392,5740,479.21,0,1640.36,164.05,1476.31,34.19028,50.5009110552662,36.14,728.82,0,0,0,79528.69,125247.29,0,0,0,0,0,0,125247.29
131,CHHATTISGARH,KOREA,1317,7134,964.43,0,5044.14,504.42,4539.72,42.92838,24.9621122007525,44.54,3404.9,0,0,0,13458.86,27257.12,0,0,0,0,0,0,27257.12
132,CHHATTISGARH,MAHASAMUND,1397.68696719482,67215,6585.76,0,45736.76,4573.67,41163.09,346.69452,36.641248263918,365.32,26061.79,0,0,0,83531.83,177356.21,0,0,0,0,0,0,177356.21
133,CHHATTISGARH,MANENDRAGARH-CHIRMIRI_BHARATPUR,1317,11656,1619.65,0,3499.95,350,3149.95,35.26338,29.507452499246,36.55,2219.19,0,0,0,60568.67,107291.16,0,0,0,0,0,0,107291.16
134,CHHATTISGARH,MOHLA-MANPUR_AMBAGARHCHOWKI,1208.7,6211,485.02,0,2046.2,204.62,1841.58,29.58033,90.5879733706926,30.57,172.33,0,0,0,29710.35,44912.61,0,0,0,0,0,0,44912.61
135,CHHATTISGARH,MUNGELI,1351,69850,4414.6,0,15936.92,1593.68,14343.24,444.94011,24.6765026590924,516.09,10732.67,0,0,0,30331.03,54885.83,0,0,0,0,0,0,54885.83
136,CHHATTISGARH,NARAYANPUR,1404.1,3261,219.78,0,647.59,64.76,582.83,7.20729,7.27656434981041,7.56,540.07,0,0,0,67847.51,92354.01,0,0,0,0,0,0,92354.01
137,CHHATTISGARH,RAIGARH,1466,15887,1414.73,0,3572.25,357.21,3215.04,113.92161,16.7599781029163,119.23,2670.89,0,0,0,71035.38,109346.4,0,0,0,0,0,0,109346.4
